Car Title,Price,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Control de tracción,Capacidad de personas,Potencia,Medidas,Distancia entre ejes,Capacidad del tanque,Válvulas por cilindro,Frenos ABS,Airbag para conductor y pasajero,Tracción ASR,AM/FM,Android auto,Apple CarPlay,Aire acondicionado,Computadora de abordo,Sensor de lluvia,Porta vasos,Dirección,Alarma,Largo x Altura x Ancho,Llantas de aleación,Reproductor de MP3,Con cámara de retroceso,Techo solar eléctrico retráctil,Soporte para rueda de auxilio,Limpia/lava luneta,Porta equipaje en techo,Entrada auxiliar,Bluetooth,CD,DVD,Entrada USB,Piloto automático,Alarma de luces encendidas,Cristales eléctricos,Apertura remota de baúl,Comando remoto para radio en el volante,Climatizador,Cierre automático de vidrios,Defensa delantera,Airbag conductor,Faros con regulación automática,Sensor de estacionamiento,Faros antinieblas traseros,Desempañador trasero,Control de estabilidad,Tercera luz de freno led,Cierre centralizado de puertas,Blindado,Tapizado de cuero,Con garantía de fábrica,Con garantía mecánica,Único dueño,Con precio negociable,Acepta permuta,Tipo de batería,Capacidad de la batería,Tiempo de carga,Tipo de cargador,Autonomia de la batería,Con modo Eco,Asientos delanteros calefaccionados,Con sensor de cambio de carril,Con sensor de estacionamiento por cámara delantera,Con sensor de estacionamiento por cámara trasera,Con sistema de estacionamiento automático,Sistema ISOFIX,Aviso de punto ciego,Inspección vehicular,Largo x Altura,Entrada internacional legalizada,Con impacto positivo,,Baúl
Fiat FASTBACK 1.3 T270 At6,19.000.000,Fiat,FASTBACK,2024,1.3 T270 At6,Plateado,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,4427 mm x 1547 mm x 1990 mm,2533 mm,47 L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,23.300.000,Fiat,Cronos,2024,1.3 Drive Mt,Blanco,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.4 8v Freedom Cd,6.400,Fiat,Strada,2024,1.4 8v Freedom Cd,Negro,Nafta,3,Manual,1.4,Pick-Up,500 km,Delantera,5,85 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4474 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 Abarth T270 At6,38.000.000,Fiat,FASTBACK,2024,1.3 Abarth T270 At6,Gris,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2530 mm,47 L,4,,,,,,,,,,,,,4425 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.8 Freedom,18.000.000,Fiat,Toro,2024,1.8 Freedom,Blanco,Nafta,4,Automática,1.8,Pick-Up,0 km,4x2,5,130 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4915 mm x 1690 mm x 1669 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,19.500.000,Fiat,Mobi,2024,1.0 Trekking,Plateado,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,2304 mm,47 L,2,,,,,,,,,,,,,3596 mm x 1555 mm x 1931 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.3 270 Firefly Turbo Volcano 4x2 At,11.000,Fiat,Toro,2024,1.3 270 Firefly Turbo Volcano 4x2 At,Plateado,Nafta,4,Automática,1.3,Pick-Up,1200 km,4x2,5,175 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4945 mm x 1735 mm x 1845 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Abarth Gse At,38.000.000,Fiat,Pulse,2024,1.3 Abarth Gse At,Blanco,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,,47 L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Palio 1.4 Nuevo Attractive 85cv,13.500.000,Fiat,Palio,2017,1.4 Nuevo Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,71000 km,Delantera,5,85 hp,,3665 mm,48 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,No,Sí,Hidráulica,Sí,3875 mm x 1504 mm x 1993 mm,Sí,Sí,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Abarth Gse At,39.900.000,Fiat,Pulse,2024,1.3 Abarth Gse At,Plateado,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,,47 L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
